date,home_team,away_team,home_team_full,away_team_full,home_odds_dec,draw_odds_dec,away_odds_dec,home_implied,away_implied
2025-11-07,CGY,CHI,Calgary Flames,Chicago Blackhawks,1.91,4.2,2.9,47.3,31.2
2025-11-07,NYI,MIN,NY Islanders,Minnesota Wild,1.95,4.2,2.8,46.3,32.2
2025-11-07,SJS,WPG,San Jose Sharks,Winnipeg Jets,3.25,4.2,1.75,27.5,51.1
2025-11-08,TBL,WSH,Tampa Bay Lightning,Washington Capitals,1.91,4.2,2.9,47.3,31.2
2025-11-08,NYR,NYI,NY Rangers,NY Islanders,1.91,4.2,2.9,47.3,31.2
2025-11-08,STL,SEA,St. Louis Blues,Seattle Kraken,1.85,4.2,3.0,48.6,30.0
2025-11-08,CAR,BUF,Carolina Hurricanes,Buffalo Sabres,1.6,4.2,4.0,56.1,22.5
2025-11-08,TOR,BOS,Toronto Maple Leafs,Boston Bruins,1.67,4.4,3.5,53.9,25.7
2025-11-08,SJS,FLA,San Jose Sharks,Florida Panthers,4.2,4.2,1.6,21.6,56.8
2025-11-08,VAN,CBJ,Vancouver Canucks,Columbus Blue Jackets,2.25,4.0,2.45,40.3,37.0
2025-11-08,VGK,ANA,Vegas Golden Knights,Anaheim Ducks,1.67,4.6,3.6,54.7,25.4
2025-11-08,EDM,COL,Edmonton Oilers,Colorado Avalanche,2.5,4.0,2.2,36.2,41.2
2025-11-08,DET,CHI,Detroit Red Wings,Chicago Blackhawks,1.8,4.2,3.2,50.2,28.3
2025-11-08,PIT,LAK,Pittsburgh Penguins,Los Angeles Kings,2.88,4.2,1.95,31.6,46.7
2025-11-08,MTL,UTA,Montreal Canadiens,Utah Mammoth,2.5,4.0,2.2,36.2,41.2
2025-11-09,MIN,CGY,Minnesota Wild,Calgary Flames,1.91,4.2,2.8,46.8,31.9
2025-11-09,VAN,COL,Vancouver Canucks,Colorado Avalanche,3.3,4.2,1.75,27.2,51.4
2025-11-09,ANA,WPG,Anaheim Ducks,Winnipeg Jets,2.62,4.0,2.1,34.5,43.0
2025-11-09,OTT,UTA,Ottawa Senators,Utah Mammoth,2.3,4.0,2.4,39.5,37.8
2025-11-09,DAL,SEA,Dallas Stars,Seattle Kraken,1.67,4.5,3.5,54.1,25.8
2025-11-09,TOR,CAR,Toronto Maple Leafs,Carolina Hurricanes,2.5,4.2,2.15,36.3,42.2
2025-11-10,NJD,NYI,New Jersey Devils,NY Islanders,1.95,4.2,2.88,46.7,31.6
